frecuencia_hz,partida_g1_db,partida_g1_fase_grados,partida_g3_db,partida_g3_fase_grados,partida_g5_db,partida_g5_fase_grados,partida_g8_db,partida_g8_fase_grados,partida_g11_db,partida_g11_fase_grados,simple_g1_db,simple_g1_fase_grados,simple_g3_db,simple_g3_fase_grados,simple_g5_db,simple_g5_fase_grados,simple_g8_db,simple_g8_fase_grados,simple_g11_db,simple_g11_fase_grados
6.30957344,-0.424212445,24.9647095,9.11812825,24.9644997,13.5550275,24.9642899,17.6373136,24.9639753,20.403254,24.9636606,-0.80987202,20.6538976,5.91729119,47.8752257,10.0215404,55.4282113,13.9823682,59.8961445,16.7104702,61.9627448
6.60693448,-0.387809134,23.8748467,9.15453156,23.874627,13.5914308,23.8744073,17.6737169,23.8740778,20.4396573,23.8737484,-0.767953158,19.910571,6.12505346,46.6461017,10.2563757,53.909555,14.2275766,58.1882827,16.9589688,60.164366
6.91830971,-0.354466328,22.829667,9.18787437,22.829437,13.6247736,22.829207,17.7070597,22.8288619,20.4730001,22.8285169,-0.727354655,19.1926152,6.32582833,45.411001,10.4821845,52.3920762,14.4628978,56.4886339,17.1972981,58.3779516
7.2443596,-0.323937691,21.8276829,9.21840301,21.827442,13.6553023,21.8272012,17.7375884,21.8268399,20.5035288,21.8264786,-0.688050415,18.4986432,6.51938705,44.1717723,10.6988657,50.8779411,14.6882983,54.7992263,17.4254481,56.6054017
7.58577575,-0.295994942,20.867412,9.24634576,20.8671597,13.683245,20.8669075,17.7655311,20.8665292,20.5314715,20.8661509,-0.650026179,17.8273781,6.70554087,42.9304343,10.9063546,49.3694105,14.9037759,53.1221689,17.6434385,54.8486971
7.94328235,-0.270426815,19.9473837,9.27191388,19.9471196,13.7088132,19.9468555,17.7910992,19.9464593,20.5570396,19.9460632,-0.613277078,17.1776553,6.88414301,41.6891382,11.1046238,47.8688102,15.1093615,51.4596234,17.85132,53.1098734
8.31763771,-0.247038042,19.0661447,9.29530265,19.0658682,13.7322019,19.0655916,17.814488,19.0651768,20.5804284,19.0647621,-0.577805226,16.5484222,7.05508979,40.4501298,11.293684,46.3785,15.30512,49.8137766,18.049176,51.3909928
8.7096359,-0.225648344,18.2222639,9.31669235,18.2219744,13.7535916,18.2216848,17.8358777,18.2212504,20.6018181,18.2208161,-0.543617406,15.9387366,7.21832098,39.2157115,11.4735842,44.9008429,15.4911506,48.1868114,18.2371224,49.6941157
9.12010839,-0.206091457,17.4143361,9.33624924,17.4140329,13.7731485,17.4137296,17.8554346,17.4132748,20.621375,17.41282,-0.510722921,15.3477614,7.3738193,37.9882052,11.6444107,43.4381742,15.6675861,46.5808785,18.4153076,48.0212729
9.54992586,-0.188214191,16.6409852,9.35412651,16.6406676,13.7910258,16.6403501,17.8733119,16.6398739,20.6392523,16.6393976,-0.479131648,14.774759,7.52160921,36.7699177,11.8062862,41.9927729,15.8345921,44.9980685,18.5839113,46.3744382
10,-0.171875525,15.900867,9.37046517,15.9005346,13.8073644,15.9002021,17.8896505,15.8997034,20.6555909,15.8992047,-0.448852336,14.2190834,7.66175509,35.5631074,11.9593676,40.5668344,15.9923649,43.440387,18.743143,44.755503
10.4712855,-0.156945746,15.1926716,9.38539495,15.1923234,13.8222942,15.1919753,17.9045803,15.1914531,20.6705207,15.1909309,-0.419891185,13.680171,7.7943587,34.3699555,12.1038436,39.1624463,16.14113,41.9097312,18.89324,43.1662537
10.964782,-0.143305632,14.5151241,9.39903507,14.5147596,13.8359343,14.514395,17.9182204,14.5138482,20.6841608,14.5133014,-0.392250705,13.1575316,7.91955628,33.1925393,12.2399319,37.7815667,16.2811388,40.4078694,19.0344647,41.6083507
11.4815362,-0.130845671,13.8669868,9.41149503,13.8666051,13.8483943,13.8662233,17.9306804,13.8656508,20.6966208,13.8650782,-0.365928872,12.6507375,8.03751518,32.0328103,12.3678761,36.4260061,16.4126658,38.9364241,19.1671015,40.0833121
12.0226443,-0.119465341,13.2470593,9.42287536,13.2466596,13.8597746,13.2462598,17.9420607,13.2456603,20.7080011,13.2450607,-0.340918566,12.159414,8.14843024,30.8925761,12.4879423,35.0974135,16.5360056,37.4968582,19.2914542,38.5924999
12.5892541,-0.109072418,12.6541792,9.43326828,12.6537606,13.8701676,12.6533421,17.9524536,12.6527142,20.718394,12.6520864,-0.317207267,11.6832293,8.25252,29.7734861,12.6004151,33.7972654,16.651469,36.0904652,19.4078421,37.1371098
13.1825674,-0.0995823366,12.0872225,9.44275836,12.0867842,13.8796576,12.0863459,17.9619437,12.0856885,20.7278841,12.0850311,-0.294776994,11.2218853,8.35002287,28.6770217,12.7055945,32.5268586,16.75938,34.7183623,19.5165969,35.7181648
13.8038426,-0.0909175902,11.5451032,9.45142311,11.5446442,13.8883224,11.5441853,17.9706085,11.5434969,20.7365489,11.5428085,-0.273604442,10.7751087,8.44119328,27.6044899,12.803792,31.2873068,16.8600724,33.3814878,19.6180592,34.3365121
14.4543977,-0.0830071731,11.0267734,9.45933352,11.0262928,13.8962328,11.0258123,17.9785189,11.0250914,20.7444593,11.0243706,-0.253661287,10.3426438,8.52629797,26.5570206,12.8953273,30.0795402,16.9538859,32.0806003,19.7125753,32.9928227
15.1356125,-0.07578606,10.5312229,9.46655464,10.5307196,13.9034539,10.5302164,17.98574,10.5294616,20.7516804,10.5287068,-0.234914624,9.92424563,8.60561245,25.5355674,12.9805248,28.904308,17.0411636,30.8162822,19.800494,31.6875946
15.8489319,-0.069194724,10.0574782,9.47314597,10.0569513,13.9100453,10.0564243,17.9923313,10.055634,20.7582717,10.0548436,-0.217327497,9.51967414,8.67941771,24.5409105,13.0597106,27.7621835,17.1222486,29.5889445,19.8821639,30.4211574
16.5958691,-0.0631786899,9.6046026,9.47916201,9.60405082,13.9160613,9.60349905,17.9983474,9.60267141,20.7642877,9.6018438,-0.200859492,9.12868992,8.74799718,23.5736626,13.13321,26.6535712,17.1974817,28.3988343,19.9579306,29.1936804
17.3780083,-0.05768812,9.17169472,9.48465258,9.17111694,13.9215519,9.17053916,18.0038379,9.16967252,20.7697783,9.1688059,-0.18546736,8.75105044,8.81163406,22.6342767,13.2013444,25.5787159,17.2671988,27.2460441,20.0281345,28.0051808
18.1970086,-0.0526774319,8.75788813,9.48966327,8.75728312,13.9265625,8.75667812,18.0088486,8.75577063,20.774789,8.75486317,-0.171105649,8.38650742,8.87060883,21.723055,13.2644299,24.5377127,17.3317288,26.1305213,20.0931087,26.855534
19.0546072,-0.0481049458,8.36235031,9.49423575,8.36171678,13.931135,8.36108327,18.0134211,8.36013301,20.7793615,8.35918278,-0.157727318,8.03480498,8.92519727,20.8401591,13.3227747,23.5305186,17.391392,25.0520803,20.1531771,25.7444853
19.9526231,-0.043932559,7.98428171,9.49840814,7.98361832,13.9353074,7.98295495,18.0175935,7.98195991,20.7835339,7.9809649,-0.145284318,7.69567858,8.97566865,19.9856215,13.3766782,22.5569638,17.4464987,24.0104139,20.2086534,24.671661
