tiempo_s,entrada_v,entrada_pcm1808_v,riel_positivo_v,riel_negativo_v,entrada_no_inversora_v,salida_etapa_a_v,salida_etapa_b_v
0.00637630322,1.0519396,2.90095988,8.98276343,0,5.53922035,7.45910655,7.39949407
0.00638130322,1.0178327,2.90078573,8.98275852,0,5.50506201,7.45874989,7.3994298
0.00638630322,0.982721329,2.90056842,8.98275164,0,5.46990092,7.45824547,7.39932237
0.00639130322,0.946640128,2.90030524,8.98274281,0,5.43377178,7.45758715,7.39916905
0.00639630322,0.909624707,2.89999327,8.98273208,0,5.39671026,7.45676687,7.39896694
0.00640130322,0.871711597,2.89962936,8.98271947,0,5.35875293,7.45577378,7.39871287
0.00640630322,0.832938212,2.89920908,8.98270507,0,5.31993724,7.45459375,7.39840241
0.00641130322,0.793342818,2.89872688,8.98268891,0,5.2803015,7.45320844,7.39803003
0.00641630322,0.752964491,2.89817522,8.98267108,0,5.23988484,7.45159408,7.39758815
0.00642130322,0.711843078,2.89754434,8.98265164,0,5.19872713,7.44971944,7.39706704
0.00642630322,0.670019162,2.89682096,8.98263068,0,5.15686899,7.44754305,7.39645341
0.00643130322,0.627534018,2.89598719,8.98260828,0,5.11435174,7.44500847,7.39572935
0.00643630322,0.584429574,2.89501773,8.98258453,0,5.07121733,7.44203682,7.39486957
0.00644130322,0.540748369,2.89387623,8.98255951,0,5.02750833,7.43851347,7.3938377
0.00644630322,0.49653351,2.89250728,8.98253332,0,4.98326788,7.43426347,7.39257834
0.00645130322,0.451828632,2.89082193,8.98250604,0,4.93853963,7.42900122,7.39100252
0.00645630322,0.406677855,2.88866386,8.98247772,0,4.89336773,7.4222144,7.38895392
0.00646130322,0.361125735,2.88572246,8.98244838,0,4.84779677,7.41284546,7.38612188
0.00646630322,0.315217228,2.88113525,8.98241791,0,4.8018717,7.39753916,7.38164389
0.00647003546,0.280743648,2.8749909,8.98239421,0,4.76738726,7.3747894,7.37558091
0.00647159783,0.266265611,2.87057978,8.98238403,0,4.75290506,7.35338041,7.3712038
0.00647234738,0.259310493,2.86744197,8.98237917,0,4.74594802,7.33214439,7.36808227
0.0064726675,0.256338359,2.86569119,8.98237715,0,4.74297509,7.31591988,7.36633845
0.00647294952,0.253719133,2.86377819,8.98237547,0,4.74035516,7.29269758,7.36443157
0.00647323869,0.251032555,2.86119702,8.98237394,0,4.73766787,7.25403994,7.36185667
0.00647357805,0.247878696,2.85674767,8.98237238,0,4.73451319,7.19923031,7.35741467
0.006473777,0.246029249,2.85302682,8.98237147,0,4.73266327,7.17006356,7.35369812
0.00647397523,0.244186128,2.84816342,8.98237049,0,4.73081967,7.1435839,7.348839
0.00647418326,0.242251398,2.84151279,8.98236937,0,4.72888445,7.11783481,7.34219286
0.0064743994,0.240240841,2.83236647,8.98236818,0,4.72687339,7.09263446,7.33305119
0.006474626,0.23813256,2.82016762,8.982367,0,4.72476458,7.06732892,7.32085719
0.00647486915,0.235869623,2.80463224,8.98236596,0,4.72250109,7.04099203,7.30532698
0.00647498672,0.23477535,2.79688701,8.98236557,0,4.72140654,7.02846884,7.29758425
0.00647510486,0.233675541,2.78927949,8.98236526,0,4.72030647,7.01597911,7.28997923
0.00647523975,0.232419695,2.78077867,8.98236499,0,4.71905032,7.00180899,7.28148126
0.00647540225,0.230906464,2.77063908,8.98236476,0,4.71753672,6.98483437,7.27134509
0.00647556194,0.229419337,2.7606318,8.9823646,0,4.71604924,6.96823213,7.26134115
0.00647575441,0.227626475,2.7483918,8.98236447,0,4.71425595,6.94829115,7.24910517
0.00647598644,0.225464738,2.73335348,8.98236438,0,4.7120937,6.92432209,7.23407167
0.00647637054,0.221885181,2.70767516,8.98236431,0,4.70851331,6.88473947,7.20840126
0.00647673007,0.218533329,2.68276964,8.98236428,0,4.70516069,6.84774536,7.18350308
0.00647719797,0.214169646,2.64904333,8.98236427,0,4.70079603,6.79963024,7.14978622
0.00647770218,0.209465189,2.61122892,8.98236427,0,4.69609054,6.7477865,7.11198186
0.0064787106,0.200050017,2.53149395,8.98236427,0,4.68667338,6.64406665,7.03226653
0.00647985154,0.189387919,2.43575999,8.98236427,0,4.67600914,6.526642,6.93655404
0.00648213342,0.168035075,2.23150052,8.98236427,0,4.65465238,6.29153749,6.73233491
0.00648652921,0.126807677,1.80897765,8.98236427,0,4.61341881,5.83775784,6.30987932
0.00649061464,0.0884036558,1.39773182,8.98236427,0,4.57501069,5.41516581,5.89868312
0.00649561464,0.0413257937,0.885408518,8.98236427,0,4.52792994,4.89723344,5.38640305
0.00650061464,-0.00579285195,0.369050595,8.98236427,0,4.48081076,4.37893083,4.87006889
0.00650561464,-0.0529057808,-0.148588732,8.98236427,0,4.43369966,3.86077318,4.35243373
0.00651061464,-0.099966498,-0.666353077,8.98236427,0,4.38664312,3.34326122,3.83465395
0.00651561464,-0.14692856,-1.18350049,8.98236427,0,4.33968758,2.82691021,3.31747151
0.00652061464,-0.193745622,-1.69948389,8.98236427,0,4.29287939,2.31222599,2.80143351
0.00652561464,-0.24037148,-2.21368274,8.98236426,0,4.24626474,1.79991861,2.28716055
0.00652705478,-0.253758999,-2.35797699,8.98236426,0,4.23288088,1.68023247,2.14284135
0.00652794752,-0.262047576,-2.44057378,8.98236426,0,4.22459467,1.64943664,2.06022833
0.00652883045,-0.270236949,-2.51250724,8.98236426,0,4.21640771,1.63105189,1.98827831
0.00652972931,-0.278565534,-2.57580621,8.98236426,0,4.20808165,1.61843803,1.92496202
0.00653101826,-0.290493078,-2.65110607,8.98236426,0,4.19615787,1.60574169,1.84963664
0.00653258284,-0.304945396,-2.72200667,8.98236426,0,4.18171032,1.59501823,1.7787042
0.00653367655,-0.315030831,-2.76050185,8.98236426,0,4.17162835,1.58930527,1.7401863
0.00653461987,-0.323717609,-2.78767602,8.98236426,0,4.16294465,1.58516017,1.71299231
0.00653572063,-0.333839681,-2.8133248,8.98236426,0,4.15282627,1.58100179,1.68732017
0.00653678858,-0.343644813,-2.8328076,8.98236426,0,4.14302483,1.57749952,1.66781453
0.0065385624,-0.359896441,-2.85615491,8.98236426,0,4.12677957,1.57254573,1.644429
0.00654037374,-0.376445535,-2.87178352,8.98236426,0,4.11023727,1.56830432,1.62876108
0.00654200851,-0.391339709,-2.88131879,8.98236426,0,4.09534948,1.56500041,1.61919019
0.00654440528,-0.413101159,-2.89053599,8.98236426,0,4.07359784,1.56082852,1.60992059
0.00654769323,-0.442800807,-2.89805051,8.98236426,0,4.04391249,1.55606004,1.60233398
0.0065520136,-0.48153679,-2.90344356,8.98236426,0,4.00519676,1.5509688,1.59684598
0.00655576255,-0.51486298,-2.90619976,8.98236426,0,3.97188951,1.54730634,1.59400729
0.00655907415,-0.544064403,-2.90779133,8.98236426,0,3.94270584,1.54453029,1.59234279
0.00656286722,-0.577221162,-2.90921724,8.98236426,0,3.9095706,1.54174571,1.5908333
0.00656699099,-0.61289609,-2.91040138,8.98236426,0,3.87392049,1.53911057,1.58955825
0.00657057191,-0.643541926,-2.91123126,8.98236426,0,3.84329738,1.53709786,1.58864941
0.00657443274,-0.676217853,-2.91197771,8.98236426,0,3.81064718,1.535167,1.5878178
0.00657943274,-0.71794094,-2.91277322,8.98236426,0,3.76895928,1.53298057,1.58691197
0.00658443274,-0.758955505,-2.9134176,8.98236426,0,3.72798196,1.53109835,1.58615724
0.00658943274,-0.799221073,-2.91394283,8.98236426,0,3.68775566,1.52947765,1.58552165
0.00659443274,-0.838697907,-2.91437058,8.98236426,0,3.64832009,1.52808595,1.58498352
0.00659943274,-0.877347047,-2.91471591,8.98236426,0,3.60971416,1.5268991,1.58452779
0.00660443274,-0.915130351,-2.91499012,8.98236426,0,3.57197598,1.52589836,1.58414316
0.00660943274,-0.952010532,-2.9152014,8.98236426,0,3.53514278,1.52506939,1.58382146
0.00661443274,-0.987951193,-2.91535622,8.98236425,0,3.49925092,1.52440107,1.58355622
0.00661943274,-1.02291687,-2.91545921,8.98236425,0,3.46433581,1.52388514,1.58334279
0.00662443274,-1.05687304,-2.9155141,8.98236425,0,3.43043192,1.52351554,1.58317747
0.00662943274,-1.08978622,-2.91552335,8.98236425,0,3.39757271,1.52328836,1.58305779
0.00663443274,-1.1216239,-2.91548897,8.98236425,0,3.36579059,1.52319951,1.58298173
0.00663943274,-1.15235468,-2.91541642,8.98236425,0,3.33511695,1.5231896,1.58294384
0.00664443274,-1.18194822,-2.91531984,8.98236425,0,3.30558204,1.52318746,1.58292999
0.00664943274,-1.21037532,-2.91521404,8.98236425,0,3.27721502,1.52318344,1.58292537
0.00665443274,-1.23760793,-2.91510589,8.98236425,0,3.25004387,1.52318003,1.58292309
0.00665943274,-1.26361916,-2.91499685,8.98236425,0,3.22409543,1.52317667,1.58292172
0.00666443274,-1.28838336,-2.91488758,8.98236425,0,3.19939529,1.52317349,1.58292057
0.00666943274,-1.31187608,-2.91477814,8.98236425,0,3.17596783,1.52317047,1.5829196
0.00667443274,-1.33407414,-2.91466869,8.98236425,0,3.15383617,1.5231676,1.58291864
0.00667943274,-1.35495562,-2.91455914,8.98236425,0,3.13302215,1.52316492,1.58291779
0.00668443274,-1.37449993,-2.91444959,8.98236425,0,3.11354632,1.52316239,1.58291695
