frecuencia_hz,carga_1meg_cable_300pf_db,carga_1meg_cable_600pf_db,carga_10k_cable_300pf_db,carga_10k_cable_600pf_db
15.1356125,-0.069057377,-0.0689422211,-5.10843139,-5.1083953
15.4881662,-0.0690501537,-0.0689295706,-5.10857184,-5.10853405
15.8489319,-0.0690425901,-0.0689163239,-5.10871891,-5.10867934
16.218101,-0.06903467,-0.0689024528,-5.1088729,-5.10883147
16.5958691,-0.0690263766,-0.0688879281,-5.10903414,-5.10899076
16.9824365,-0.0690176923,-0.0688727187,-5.10920298,-5.10915756
17.3780083,-0.0690085987,-0.0688567926,-5.10937977,-5.10933221
17.7827941,-0.0689990766,-0.0688401158,-5.10956488,-5.10951508
18.1970086,-0.0689891057,-0.0688226531,-5.10975871,-5.10970656
18.6208714,-0.0689786649,-0.0688043673,-5.10996166,-5.10990706
19.0546072,-0.068967732,-0.0687852197,-5.11017417,-5.110117
19.498446,-0.0689562838,-0.0687651696,-5.11039668,-5.11033682
19.9526231,-0.0689442961,-0.0687441746,-5.11062967,-5.11056699
20.4173794,-0.0689317434,-0.0687221901,-5.11087362,-5.11080799
20.8929613,-0.0689185991,-0.0686991694,-5.11112906,-5.11106034
21.3796209,-0.0689048353,-0.0686750637,-5.11139651,-5.11132456
21.8776162,-0.0688904228,-0.0686498219,-5.11167656,-5.11160122
22.3872114,-0.068875331,-0.0686233904,-5.11196978,-5.1118909
22.9086765,-0.068859528,-0.0685957131,-5.1122768,-5.11219421
23.4422882,-0.0688429802,-0.0685667313,-5.11259827,-5.11251179
23.9883292,-0.0688256524,-0.0685363836,-5.11293487,-5.11284432
24.5470892,-0.068807508,-0.0685046055,-5.11328729,-5.11319249
25.1188643,-0.0687885084,-0.0684713297,-5.1136563,-5.11355703
25.7039578,-0.0687686134,-0.0684364854,-5.11404266,-5.11393873
26.3026799,-0.0687477807,-0.0683999989,-5.1144472,-5.11433838
26.915348,-0.0687259661,-0.0683617927,-5.11487076,-5.11475682
27.542287,-0.0687031234,-0.0683217856,-5.11531424,-5.11519494
28.1838293,-0.0686792041,-0.068279893,-5.11577857,-5.11565366
28.840315,-0.0686541574,-0.0682360257,-5.11626473,-5.11613395
29.5120923,-0.0686279302,-0.0681900908,-5.11677374,-5.11663682
30.1995172,-0.0686004669,-0.0681419909,-5.11730668,-5.11716332
30.9029543,-0.0685717092,-0.0680916238,-5.11786467,-5.11771457
31.6227766,-0.0685415961,-0.0680388826,-5.11844888,-5.11829173
32.3593657,-0.0685100637,-0.0679836555,-5.11906053,-5.118896
33.1131121,-0.0684770451,-0.0679258253,-5.11970092,-5.11952866
33.8844156,-0.0684424703,-0.0678652692,-5.12037139,-5.12019104
34.673685,-0.0684062658,-0.0678018587,-5.12107334,-5.12088453
35.4813389,-0.0683683549,-0.0677354593,-5.12180826,-5.12161058
36.3078055,-0.0683286572,-0.0676659301,-5.12257768,-5.12237072
37.1535229,-0.0682870884,-0.0675931235,-5.12338321,-5.12316654
38.0189396,-0.0682435603,-0.067516885,-5.12422655,-5.12399971
38.9045145,-0.0681979806,-0.0674370528,-5.12510946,-5.12487198
39.8107171,-0.0681502525,-0.0673534575,-5.12603378,-5.12578517
40.7380278,-0.0681002748,-0.0672659216,-5.12700146,-5.12674119
