# relojes.py 2026-09-13T15:25:20-05:00 sha256 c1a1431a00600481ec60da7c30896c65e9041f83086ab0f8109d3cb09029034b
# FREF 12 MHz; REFDIV 1-63; FBDIV 16-320; VCO 750-1600 MHz; POSTDIV1 y POSTDIV2 1-7. Divisor PIO entero 16 bits + fraccion/256; divisor GPOUT0 entero 24 bits + fraccion/256. Tiempos en ns en regimen estable, sin el jitter del PLL.
camino,refdiv,fbdiv,vco_hz,postdiv1,postdiv2,sysclk_hz,divisor,div_int,div_frac,divisor_entero,cumple_ref_min_5mhz,cumple_sysclk_max_133mhz,postdiv1_mayor_o_igual,periodo_sm_pp_ns,mclk_periodo_pp_ns,mclk_tie_pp_ns,duty_min,duty_max,pulso_min_ns,requiere_dc50,cumple_pcm1808
gpout0,1,71,852000000,1,2,426000000,34.66796875,34,171,False,True,False,False,,2.347417840375587,,,,,,
gpout0,1,71,852000000,1,5,170400000,13.8671875,13,222,False,True,False,False,,5.868544600938967,,,,,,
gpout0,1,71,852000000,2,1,426000000,34.66796875,34,171,False,True,False,True,,2.347417840375587,,,,,,
gpout0,1,71,852000000,2,5,85200000,6.93359375,6,239,False,True,True,False,,11.737089201877934,,,,,,
gpout0,1,71,852000000,5,1,170400000,13.8671875,13,222,False,True,False,True,,5.868544600938967,,,,,,
gpout0,1,71,852000000,5,2,85200000,6.93359375,6,239,False,True,True,True,,11.737089201877934,,,,,,
gpout0,1,71,852000000,5,5,34080000,2.7734375,2,198,False,True,True,True,,29.342723004694836,,,,,,
gpout0,1,72,864000000,1,1,864000000,70.3125,70,80,False,True,False,True,,1.1574074074074074,,,,,,
gpout0,1,72,864000000,1,2,432000000,35.15625,35,40,False,True,False,False,,2.314814814814815,,,,,,
gpout0,1,72,864000000,1,3,288000000,23.4375,23,112,False,True,False,False,,3.4722222222222223,,,,,,
gpout0,1,72,864000000,1,4,216000000,17.578125,17,148,False,True,False,False,,4.62962962962963,,,,,,
gpout0,1,72,864000000,1,5,172800000,14.0625,14,16,False,True,False,False,,5.787037037037037,,,,,,
gpout0,1,72,864000000,1,6,144000000,11.71875,11,184,False,True,False,False,,6.944444444444445,,,,,,
gpout0,1,72,864000000,2,1,432000000,35.15625,35,40,False,True,False,True,,2.314814814814815,,,,,,
gpout0,1,72,864000000,2,2,216000000,17.578125,17,148,False,True,False,True,,4.62962962962963,,,,,,
gpout0,1,72,864000000,2,3,144000000,11.71875,11,184,False,True,False,False,,6.944444444444445,,,,,,
gpout0,1,72,864000000,2,4,108000000,8.7890625,8,202,False,True,True,False,,9.25925925925926,,,,,,
gpout0,1,72,864000000,2,5,86400000,7.03125,7,8,False,True,True,False,,11.574074074074074,,,,,,
gpout0,1,72,864000000,2,6,72000000,5.859375,5,220,False,True,True,False,,13.88888888888889,,,,,,
gpout0,1,72,864000000,3,1,288000000,23.4375,23,112,False,True,False,True,,3.4722222222222223,,,,,,
gpout0,1,72,864000000,3,2,144000000,11.71875,11,184,False,True,False,True,,6.944444444444445,,,,,,
gpout0,1,72,864000000,3,3,96000000,7.8125,7,208,False,True,True,True,,10.416666666666666,,,,,,
gpout0,1,72,864000000,3,4,72000000,5.859375,5,220,False,True,True,False,,13.88888888888889,,,,,,
gpout0,1,72,864000000,3,5,57600000,4.6875,4,176,False,True,True,False,,17.36111111111111,,,,,,
gpout0,1,72,864000000,3,6,48000000,3.90625,3,232,False,True,True,False,,20.833333333333332,,,,,,
gpout0,1,72,864000000,4,1,216000000,17.578125,17,148,False,True,False,True,,4.62962962962963,,,,,,
gpout0,1,72,864000000,4,2,108000000,8.7890625,8,202,False,True,True,True,,9.25925925925926,,,,,,
gpout0,1,72,864000000,4,3,72000000,5.859375,5,220,False,True,True,True,,13.88888888888889,,,,,,
gpout0,1,72,864000000,4,4,54000000,4.39453125,4,101,False,True,True,True,,18.51851851851852,,,,,,
gpout0,1,72,864000000,4,5,43200000,3.515625,3,132,False,True,True,False,,23.14814814814815,,,,,,
gpout0,1,72,864000000,4,6,36000000,2.9296875,2,238,False,True,True,False,,27.77777777777778,,,,,,
gpout0,1,72,864000000,5,1,172800000,14.0625,14,16,False,True,False,True,,5.787037037037037,,,,,,
gpout0,1,72,864000000,5,2,86400000,7.03125,7,8,False,True,True,True,,11.574074074074074,,,,,,
